Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to D:\PycharmProjects\simple-dynamic-path-planning\runs\round3-predictive-seed3\logs\tensorboard\PPO_1
---------------------------------
| rollout/           |          |
|    fps                  | 797          |
|    iterations           | 10           |
|    time_elapsed         | 25           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0040609413 |
|    clip_fraction        | 0.013        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.236        |
|    learning_rate        | 0.0001       |
|    loss                 | 1.09e+03     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00501     |
|    std                  | 1.01         |
|    value_loss           | 2.18e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 201          |
|    ep_rew_mean          | 367          |
|    success_rate         | 0.25         |
| time/                   |              |
|    fps                  | 821          |
|    iterations           | 11           |
|    time_elapsed         | 27           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0039405064 |
|    clip_fraction        | 0.0127       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.0771       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.67e+03     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00371     |
|    std                  | 1.01         |
|    value_loss           | 2.73e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 174          |
|    ep_rew_mean          | 365          |
|    success_rate         | 0.24         |
| time/                   |              |
|    fps                  | 841          |
|    iterations           | 12           |
|    time_elapsed         | 29           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0043276856 |
|    clip_fraction        | 0.011        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | -0.000404    |
|    learning_rate        | 0.0001       |
|    loss                 | 1.51e+03     |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00272     |
|    std                  | 1.01         |
|    value_loss           | 3.54e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 175          |
|    ep_rew_mean          | 394          |
|    success_rate         | 0.27         |
| time/                   |              |
|    fps                  | 858          |
|    iterations           | 13           |
|    time_elapsed         | 31           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0029704208 |
|    clip_fraction        | 0.00376      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.0738       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.81e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00273     |
|    std                  | 1.01         |
|    value_loss           | 3.61e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 171          |
|    ep_rew_mean          | 426          |
|    success_rate         | 0.31         |
| time/                   |              |
|    fps                  | 872          |
|    iterations           | 14           |
|    time_elapsed         | 32           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0029819766 |
|    clip_fraction        | 0.00454      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.0216       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.63e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00289     |
|    std                  | 1.01         |
|    value_loss           | 3.66e+03     |
------------------------------------------
round3-predictive-seed3 validation 30000-140: 23/60, base=430.664, shaped=400.882
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | 412         |
|    success_rate         | 0.31        |
| time/                   |             |
|    fps                  | 803         |
|    iterations           | 15          |
|    time_elapsed         | 38          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.004112288 |
|    clip_fraction        | 0.0258      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -0.000186   |
|    learning_rate        | 0.0001      |
|    loss                 | 2.05e+03    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00371    |
|    std                  | 1.01        |
|    value_loss           | 4.65e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 140         |
|    ep_rew_mean          | 416         |
|    success_rate         | 0.33        |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 16          |
|    time_elapsed         | 40          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.004584768 |
|    clip_fraction        | 0.0152      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.139       |
|    learning_rate        | 0.0001      |
|    loss                 | 2.04e+03    |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00481    |
|    std                  | 1           |
|    value_loss           | 3.62e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 130          |
|    ep_rew_mean          | 413          |
|    success_rate         | 0.34         |
| time/                   |              |
|    fps                  | 832          |
|    iterations           | 17           |
|    time_elapsed         | 41           |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0044688634 |
|    clip_fraction        | 0.015        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.000902    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.54e+03     |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00263     |
|    std                  | 0.997        |
|    value_loss           | 4.4e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 128          |
|    ep_rew_mean          | 423          |
|    success_rate         | 0.37         |
| time/                   |              |
|    fps                  | 842          |
|    iterations           | 18           |
|    time_elapsed         | 43           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0025690072 |
|    clip_fraction        | 0.00625      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.00098     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.65e+03     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00179     |
|    std                  | 0.996        |
|    value_loss           | 4.87e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | 447          |
|    success_rate         | 0.4          |
| time/                   |              |
|    fps                  | 854          |
|    iterations           | 19           |
|    time_elapsed         | 45           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0023797434 |
|    clip_fraction        | 0.00229      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0271       |
|    learning_rate        | 0.0001       |
|    loss                 | 2.87e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00223     |
|    std                  | 0.995        |
|    value_loss           | 4.42e+03     |
------------------------------------------
round3-predictive-seed3 validation 40000-190: 31/60, base=555.984, shaped=528.372
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 128          |
|    ep_rew_mean          | 461          |
|    success_rate         | 0.41         |
| time/                   |              |
|    fps                  | 794          |
|    iterations           | 20           |
|    time_elapsed         | 51           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0059909998 |
|    clip_fraction        | 0.0504       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0448       |
|    learning_rate        | 0.0001       |
|    loss                 | 2.41e+03     |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00666     |
|    std                  | 0.993        |
|    value_loss           | 4.94e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | 463          |
|    success_rate         | 0.4          |
| time/                   |              |
|    fps                  | 806          |
|    iterations           | 21           |
|    time_elapsed         | 53           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0068727424 |
|    clip_fraction        | 0.0608       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.0557       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.82e+03     |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00786     |
|    std                  | 0.991        |
|    value_loss           | 4.58e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 123          |
|    ep_rew_mean          | 454          |
|    success_rate         | 0.38         |
| time/                   |              |
|    fps                  | 817          |
|    iterations           | 22           |
|    time_elapsed         | 55           |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0033470728 |
|    clip_fraction        | 0.0134       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -0.000511    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.01e+03     |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00246     |
|    std                  | 0.984        |
|    value_loss           | 4.42e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 441         |
|    success_rate         | 0.37        |
| time/                   |             |
|    fps                  | 826         |
|    iterations           | 23          |
|    time_elapsed         | 56          |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.004691017 |
|    clip_fraction        | 0.0296      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.0114      |
|    learning_rate        | 0.0001      |
|    loss                 | 2.43e+03    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00447    |
|    std                  | 0.984       |
|    value_loss           | 4.61e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 116          |
|    ep_rew_mean          | 435          |
|    success_rate         | 0.36         |
| time/                   |              |
|    fps                  | 836          |
|    iterations           | 24           |
|    time_elapsed         | 58           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0027549323 |
|    clip_fraction        | 0.00708      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.000181     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.34e+03     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00196     |
|    std                  | 0.983        |
|    value_loss           | 4.99e+03     |
------------------------------------------
round3-predictive-seed3 validation 50000-240: 34/60, base=599.123, shaped=573.946
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | 423          |
|    success_rate         | 0.35         |
| time/                   |              |
|    fps                  | 794          |
|    iterations           | 25           |
|    time_elapsed         | 64           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0043918146 |
|    clip_fraction        | 0.0224       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -2.09e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.32e+03     |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00326     |
|    std                  | 0.985        |
|    value_loss           | 4.93e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 457         |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 804         |
|    iterations           | 26          |
|    time_elapsed         | 66          |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.002075491 |
|    clip_fraction        | 0.00151     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -3.1e-06    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.15e+03    |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00159    |
|    std                  | 0.983       |
|    value_loss           | 5.09e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 114          |
|    ep_rew_mean          | 463          |
|    success_rate         | 0.41         |
| time/                   |              |
|    fps                  | 813          |
|    iterations           | 27           |
|    time_elapsed         | 67           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0049543437 |
|    clip_fraction        | 0.0256       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.006        |
|    learning_rate        | 0.0001       |
|    loss                 | 2.85e+03     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00613     |
|    std                  | 0.986        |
|    value_loss           | 4.5e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 117          |
|    ep_rew_mean          | 483          |
|    success_rate         | 0.44         |
| time/                   |              |
|    fps                  | 822          |
|    iterations           | 28           |
|    time_elapsed         | 69           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0031810186 |
|    clip_fraction        | 0.00952      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -9.42e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.78e+03     |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00208     |
|    std                  | 0.989        |
|    value_loss           | 5.23e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 121          |
|    ep_rew_mean          | 513          |
|    success_rate         | 0.47         |
| time/                   |              |
|    fps                  | 830          |
|    iterations           | 29           |
|    time_elapsed         | 71           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0041770833 |
|    clip_fraction        | 0.0245       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.000182     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.77e+03     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00344     |
|    std                  | 0.992        |
|    value_loss           | 5.01e+03     |
------------------------------------------
round3-predictive-seed3 validation 60000-290: 41/60, base=686.994, shaped=670.263
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 554         |
|    success_rate         | 0.52        |
| time/                   |             |
|    fps                  | 796         |
|    iterations           | 30          |
|    time_elapsed         | 77          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.003202286 |
|    clip_fraction        | 0.00967     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -9.89e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 2.82e+03    |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00194    |
|    std                  | 0.991       |
|    value_loss           | 4.94e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | 565          |
|    success_rate         | 0.53         |
| time/                   |              |
|    fps                  | 805          |
|    iterations           | 31           |
|    time_elapsed         | 78           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0052258624 |
|    clip_fraction        | 0.035        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.000117     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.88e+03     |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00365     |
|    std                  | 0.992        |
|    value_loss           | 5.68e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | 585          |
|    success_rate         | 0.55         |
| time/                   |              |
|    fps                  | 813          |
|    iterations           | 32           |
|    time_elapsed         | 80           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0037733945 |
|    clip_fraction        | 0.00962      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -5.6e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.09e+03     |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00256     |
|    std                  | 0.993        |
|    value_loss           | 4.89e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 126          |
|    ep_rew_mean          | 597          |
|    success_rate         | 0.56         |
| time/                   |              |
|    fps                  | 821          |
|    iterations           | 33           |
|    time_elapsed         | 82           |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0035139313 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 2.21e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.64e+03     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00497     |
|    std                  | 0.989        |
|    value_loss           | 5.22e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 124          |
|    ep_rew_mean          | 594          |
|    success_rate         | 0.56         |
| time/                   |              |
|    fps                  | 827          |
|    iterations           | 34           |
|    time_elapsed         | 84           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0024796575 |
|    clip_fraction        | 0.00439      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -2.98e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.57e+03     |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00185     |
|    std                  | 0.99         |
|    value_loss           | 5.7e+03      |
------------------------------------------
round3-predictive-seed3 validation 70000-340: 40/60, base=680.504, shaped=662.095
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 130          |
|    ep_rew_mean          | 642          |
|    success_rate         | 0.61         |
| time/                   |              |
|    fps                  | 797          |
|    iterations           | 35           |
|    time_elapsed         | 89           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0037884703 |
|    clip_fraction        | 0.0207       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 1.67e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.92e+03     |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00251     |
|    std                  | 0.989        |
|    value_loss           | 5.4e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 127         |
|    ep_rew_mean          | 628         |
|    success_rate         | 0.6         |
| time/                   |             |
|    fps                  | 803         |
|    iterations           | 36          |
|    time_elapsed         | 91          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.008488687 |
|    clip_fraction        | 0.0718      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | -1.91e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 2.35e+03    |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00827    |
|    std                  | 0.989       |
|    value_loss           | 4.94e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 584         |
|    success_rate         | 0.55        |
| time/                   |             |
|    fps                  | 810         |
|    iterations           | 37          |
|    time_elapsed         | 93          |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.005998668 |
|    clip_fraction        | 0.0515      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -1.55e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 2.92e+03    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00612    |
|    std                  | 0.988       |
|    value_loss           | 5.72e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 114          |
|    ep_rew_mean          | 559          |
|    success_rate         | 0.53         |
| time/                   |              |
|    fps                  | 816          |
|    iterations           | 38           |
|    time_elapsed         | 95           |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0033001055 |
|    clip_fraction        | 0.0204       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | -2.62e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.86e+03     |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00302     |
|    std                  | 0.989        |
|    value_loss           | 5.63e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 115          |
|    ep_rew_mean          | 587          |
|    success_rate         | 0.57         |
| time/                   |              |
|    fps                  | 822          |
|    iterations           | 39           |
|    time_elapsed         | 97           |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0037816386 |
|    clip_fraction        | 0.0248       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -1.19e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.93e+03     |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00258     |
|    std                  | 0.991        |
|    value_loss           | 6e+03        |
------------------------------------------
round3-predictive-seed3 validation 80000-390: 28/60, base=545.700, shaped=520.429
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 559          |
|    success_rate         | 0.54         |
| time/                   |              |
|    fps                  | 800          |
|    iterations           | 40           |
|    time_elapsed         | 102          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0038011097 |
|    clip_fraction        | 0.0234       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -1.07e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.69e+03     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00336     |
|    std                  | 0.988        |
|    value_loss           | 6.12e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 107        |
|    ep_rew_mean          | 556        |
|    success_rate         | 0.54       |
| time/                   |            |
|    fps                  | 806        |
|    iterations           | 41         |
|    time_elapsed         | 104        |
|    total_timesteps      | 83968      |
| train/                  |            |
|    approx_kl            | 0.00629206 |
|    clip_fraction        | 0.0523     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.82      |
|    explained_variance   | -1.19e-07  |
|    learning_rate        | 0.0001     |
|    loss                 | 3.34e+03   |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.00399   |
|    std                  | 0.991      |
|    value_loss           | 6.01e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | 566          |
|    success_rate         | 0.55         |
| time/                   |              |
|    fps                  | 811          |
|    iterations           | 42           |
|    time_elapsed         | 105          |
|    total_timesteps      | 86016        |
