Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to D:\PycharmProjects\simple-dynamic-path-planning\runs\round3-instant-seed2\logs\tensorboard\PPO_1
---------------------------------
| rollout/           |          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.184        |
|    learning_rate        | 0.0001       |
|    loss                 | 1.29e+03     |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00305     |
|    std                  | 1.01         |
|    value_loss           | 2.22e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 246          |
|    ep_rew_mean          | 315          |
|    success_rate         | 0.169        |
| time/                   |              |
|    fps                  | 891          |
|    iterations           | 8            |
|    time_elapsed         | 18           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0036775083 |
|    clip_fraction        | 0.00791      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.157        |
|    learning_rate        | 0.0001       |
|    loss                 | 768          |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00335     |
|    std                  | 1.01         |
|    value_loss           | 2.18e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 262          |
|    ep_rew_mean          | 344          |
|    success_rate         | 0.186        |
| time/                   |              |
|    fps                  | 913          |
|    iterations           | 9            |
|    time_elapsed         | 20           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0026174493 |
|    clip_fraction        | 0.00527      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.136        |
|    learning_rate        | 0.0001       |
|    loss                 | 905          |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00266     |
|    std                  | 1.01         |
|    value_loss           | 2.44e+03     |
------------------------------------------
round3-instant-seed2 validation 20000-90: 21/60, base=411.183, shaped=404.447
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 248          |
|    ep_rew_mean          | 364          |
|    success_rate         | 0.22         |
| time/                   |              |
|    fps                  | 776          |
|    iterations           | 10           |
|    time_elapsed         | 26           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0062380657 |
|    clip_fraction        | 0.0315       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.419        |
|    learning_rate        | 0.0001       |
|    loss                 | 819          |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00889     |
|    std                  | 1.01         |
|    value_loss           | 1.49e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 232          |
|    ep_rew_mean          | 359          |
|    success_rate         | 0.216        |
| time/                   |              |
|    fps                  | 801          |
|    iterations           | 11           |
|    time_elapsed         | 28           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0028432803 |
|    clip_fraction        | 0.00454      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.0282       |
|    learning_rate        | 0.0001       |
|    loss                 | 1.58e+03     |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.0036      |
|    std                  | 1.01         |
|    value_loss           | 3.16e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 224         |
|    ep_rew_mean          | 419         |
|    success_rate         | 0.27        |
| time/                   |             |
|    fps                  | 821         |
|    iterations           | 12          |
|    time_elapsed         | 29          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.004255986 |
|    clip_fraction        | 0.0161      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -0.000221   |
|    learning_rate        | 0.0001      |
|    loss                 | 1.46e+03    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00406    |
|    std                  | 1.01        |
|    value_loss           | 2.89e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 210          |
|    ep_rew_mean          | 453          |
|    success_rate         | 0.32         |
| time/                   |              |
|    fps                  | 839          |
|    iterations           | 13           |
|    time_elapsed         | 31           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0062899413 |
|    clip_fraction        | 0.0279       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.0458       |
|    learning_rate        | 0.0001       |
|    loss                 | 2.07e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00648     |
|    std                  | 1            |
|    value_loss           | 3.17e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 187         |
|    ep_rew_mean          | 469         |
|    success_rate         | 0.37        |
| time/                   |             |
|    fps                  | 853         |
|    iterations           | 14          |
|    time_elapsed         | 33          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.002032922 |
|    clip_fraction        | 0.00142     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -0.000516   |
|    learning_rate        | 0.0001      |
|    loss                 | 1.78e+03    |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00259    |
|    std                  | 1           |
|    value_loss           | 3.98e+03    |
-----------------------------------------
round3-instant-seed2 validation 30000-140: 21/60, base=411.821, shaped=407.009
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 175         |
|    ep_rew_mean          | 481         |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 783         |
|    iterations           | 15          |
|    time_elapsed         | 39          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.002400641 |
|    clip_fraction        | 0.00278     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.049       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.82e+03    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00137    |
|    std                  | 1           |
|    value_loss           | 3.96e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 480         |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 800         |
|    iterations           | 16          |
|    time_elapsed         | 40          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.005113804 |
|    clip_fraction        | 0.0287      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.039       |
|    learning_rate        | 0.0001      |
|    loss                 | 1.36e+03    |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00537    |
|    std                  | 0.999       |
|    value_loss           | 3.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | 487         |
|    success_rate         | 0.41        |
| time/                   |             |
|    fps                  | 814         |
|    iterations           | 17          |
|    time_elapsed         | 42          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.007026688 |
|    clip_fraction        | 0.0516      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.00162     |
|    learning_rate        | 0.0001      |
|    loss                 | 1.92e+03    |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0066     |
|    std                  | 0.994       |
|    value_loss           | 3.84e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 144          |
|    ep_rew_mean          | 499          |
|    success_rate         | 0.44         |
| time/                   |              |
|    fps                  | 827          |
|    iterations           | 18           |
|    time_elapsed         | 44           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0051884344 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.00285      |
|    learning_rate        | 0.0001       |
|    loss                 | 1.78e+03     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00389     |
|    std                  | 0.995        |
|    value_loss           | 4.38e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 134          |
|    ep_rew_mean          | 477          |
|    success_rate         | 0.4          |
| time/                   |              |
|    fps                  | 838          |
|    iterations           | 19           |
|    time_elapsed         | 46           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0066867387 |
|    clip_fraction        | 0.042        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.00566      |
|    learning_rate        | 0.0001       |
|    loss                 | 1.92e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00559     |
|    std                  | 0.997        |
|    value_loss           | 4.32e+03     |
------------------------------------------
round3-instant-seed2 validation 40000-190: 21/60, base=405.352, shaped=401.195
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 133          |
|    ep_rew_mean          | 485          |
|    success_rate         | 0.4          |
| time/                   |              |
|    fps                  | 794          |
|    iterations           | 20           |
|    time_elapsed         | 51           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0027905563 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -6.33e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.45e+03     |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00235     |
|    std                  | 0.994        |
|    value_loss           | 4.68e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 132          |
|    ep_rew_mean          | 511          |
|    success_rate         | 0.44         |
| time/                   |              |
|    fps                  | 807          |
|    iterations           | 21           |
|    time_elapsed         | 53           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0023925125 |
|    clip_fraction        | 0.00361      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -1.67e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 2.01e+03     |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00225     |
|    std                  | 0.996        |
|    value_loss           | 4.39e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 128         |
|    ep_rew_mean          | 529         |
|    success_rate         | 0.47        |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 22          |
|    time_elapsed         | 54          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.004187151 |
|    clip_fraction        | 0.0134      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 7.99e-06    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.75e+03    |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00314    |
|    std                  | 0.996       |
|    value_loss           | 5.37e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 122          |
|    ep_rew_mean          | 520          |
|    success_rate         | 0.46         |
| time/                   |              |
|    fps                  | 830          |
|    iterations           | 23           |
|    time_elapsed         | 56           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0019154913 |
|    clip_fraction        | 0.0019       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.000165     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.85e+03     |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00176     |
|    std                  | 0.998        |
|    value_loss           | 5.56e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 535         |
|    success_rate         | 0.48        |
| time/                   |             |
|    fps                  | 839         |
|    iterations           | 24          |
|    time_elapsed         | 58          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.005515996 |
|    clip_fraction        | 0.0176      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.000349    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.63e+03    |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00296    |
|    std                  | 1           |
|    value_loss           | 5.28e+03    |
-----------------------------------------
round3-instant-seed2 validation 50000-240: 22/60, base=425.346, shaped=421.911
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | 495          |
|    success_rate         | 0.44         |
| time/                   |              |
|    fps                  | 808          |
|    iterations           | 25           |
|    time_elapsed         | 63           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0038674078 |
|    clip_fraction        | 0.017        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 2.74e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.8e+03      |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00368     |
|    std                  | 1            |
|    value_loss           | 5.48e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 105         |
|    ep_rew_mean          | 470         |
|    success_rate         | 0.42        |
| time/                   |             |
|    fps                  | 817         |
|    iterations           | 26          |
|    time_elapsed         | 65          |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.004656286 |
|    clip_fraction        | 0.0351      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.86e+03    |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00435    |
|    std                  | 1           |
|    value_loss           | 5.23e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 104          |
|    ep_rew_mean          | 464          |
|    success_rate         | 0.41         |
| time/                   |              |
|    fps                  | 827          |
|    iterations           | 27           |
|    time_elapsed         | 66           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0033767526 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 3.5e-05      |
|    learning_rate        | 0.0001       |
|    loss                 | 3.09e+03     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00254     |
|    std                  | 1.01         |
|    value_loss           | 5.84e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 486         |
|    success_rate         | 0.43        |
| time/                   |             |
|    fps                  | 835         |
|    iterations           | 28          |
|    time_elapsed         | 68          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.004895284 |
|    clip_fraction        | 0.0237      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 1.23e-05    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.48e+03    |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00447    |
|    std                  | 1.01        |
|    value_loss           | 5.38e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | 479          |
|    success_rate         | 0.4          |
| time/                   |              |
|    fps                  | 842          |
|    iterations           | 29           |
|    time_elapsed         | 70           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0049269036 |
|    clip_fraction        | 0.0339       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 1.74e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.28e+03     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00535     |
|    std                  | 1.01         |
|    value_loss           | 5.33e+03     |
------------------------------------------
round3-instant-seed2 validation 60000-290: 34/60, base=622.226, shaped=617.876
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 107          |
|    ep_rew_mean          | 499          |
|    success_rate         | 0.43         |
| time/                   |              |
|    fps                  | 805          |
|    iterations           | 30           |
|    time_elapsed         | 76           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0049892217 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 1.01e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.38e+03     |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00537     |
|    std                  | 1.01         |
|    value_loss           | 5.44e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 112        |
|    ep_rew_mean          | 527        |
|    success_rate         | 0.45       |
| time/                   |            |
|    fps                  | 814        |
|    iterations           | 31         |
|    time_elapsed         | 77         |
|    total_timesteps      | 63488      |
| train/                  |            |
|    approx_kl            | 0.00443465 |
|    clip_fraction        | 0.0318     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.86      |
|    explained_variance   | 4.77e-06   |
|    learning_rate        | 0.0001     |
|    loss                 | 3.44e+03   |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0038    |
|    std                  | 1.01       |
|    value_loss           | 5.99e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | 544         |
|    success_rate         | 0.45        |
| time/                   |             |
|    fps                  | 822         |
|    iterations           | 32          |
|    time_elapsed         | 79          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.005568878 |
|    clip_fraction        | 0.0306      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 0.00239     |
|    learning_rate        | 0.0001      |
|    loss                 | 2.64e+03    |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00504    |
|    std                  | 1.01        |
|    value_loss           | 5.06e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 117          |
|    ep_rew_mean          | 574          |
|    success_rate         | 0.49         |
| time/                   |              |
|    fps                  | 828          |
|    iterations           | 33           |
|    time_elapsed         | 81           |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0037246295 |
|    clip_fraction        | 0.0085       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.87        |
|    explained_variance   | 1.97e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.98e+03     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00221     |
|    std                  | 1.02         |
|    value_loss           | 5.47e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 576         |
|    success_rate         | 0.49        |
| time/                   |             |
|    fps                  | 834         |
|    iterations           | 34          |
|    time_elapsed         | 83          |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.005360732 |
|    clip_fraction        | 0.0491      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | -4.05e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 2.92e+03    |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00598    |
|    std                  | 1.01        |
|    value_loss           | 5.84e+03    |
-----------------------------------------
round3-instant-seed2 validation 70000-340: 37/60, base=678.271, shaped=674.140
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | 605          |
|    success_rate         | 0.53         |
| time/                   |              |
|    fps                  | 800          |
|    iterations           | 35           |
|    time_elapsed         | 89           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0041643335 |
|    clip_fraction        | 0.0164       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 1.85e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.71e+03     |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00271     |
|    std                  | 1.01         |
|    value_loss           | 5.37e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 638         |
|    success_rate         | 0.57        |
| time/                   |             |
|    fps                  | 808         |
|    iterations           | 36          |
|    time_elapsed         | 91          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.003268227 |
|    clip_fraction        | 0.00894     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 2.56e-06    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.89e+03    |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00305    |
|    std                  | 1.01        |
|    value_loss           | 5.73e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 663         |
|    success_rate         | 0.6         |
| time/                   |             |
|    fps                  | 815         |
|    iterations           | 37          |
|    time_elapsed         | 92          |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.007898302 |
|    clip_fraction        | 0.0477      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 4.53e-06    |
|    learning_rate        | 0.0001      |
|    loss                 | 2.92e+03    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0043     |
|    std                  | 1.01        |
|    value_loss           | 5.68e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 128        |
|    ep_rew_mean          | 705        |
|    success_rate         | 0.66       |
| time/                   |            |
|    fps                  | 820        |
|    iterations           | 38         |
|    time_elapsed         | 94         |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.00503112 |
|    clip_fraction        | 0.0204     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.86      |
|    explained_variance   | 3.34e-06   |
|    learning_rate        | 0.0001     |
|    loss                 | 2.55e+03   |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.00275   |
|    std                  | 1.01       |
|    value_loss           | 5.85e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 128          |
|    ep_rew_mean          | 710          |
|    success_rate         | 0.65         |
| time/                   |              |
|    fps                  | 826          |
|    iterations           | 39           |
|    time_elapsed         | 96           |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0024273326 |
|    clip_fraction        | 0.00796      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 1.25e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 2.6e+03      |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00167     |
|    std                  | 1.01         |
|    value_loss           | 5.93e+03     |
------------------------------------------
round3-instant-seed2 validation 80000-390: 42/60, base=724.004, shaped=720.367
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 129          |
|    ep_rew_mean          | 721          |
|    success_rate         | 0.66         |
| time/                   |              |
|    fps                  | 798          |
|    iterations           | 40           |
|    time_elapsed         | 102          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0038262117 |
|    clip_fraction        | 0.0129       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.87        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0001       |
|    loss                 | 3.08e+03     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00354     |
|    std                  | 1.02         |
|    value_loss           | 5.84e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 124        |
|    ep_rew_mean          | 690        |
|    success_rate         | 0.62       |
| time/                   |            |
|    fps                  | 804        |
|    iterations           | 41         |
|    time_elapsed         | 104        |
|    total_timesteps      | 83968      |
| train/                  |            |
|    approx_kl            | 0.00502537 |
|    clip_fraction        | 0.0358     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.88      |
|    explained_variance   | 1.79e-07   |
|    learning_rate        | 0.0001     |
|    loss                 | 2.4e+03    |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.00441   |
|    std                  | 1.02       |
|    value_loss           | 5.57e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 658         |
|    success_rate         | 0.57        |
| time/                   |             |
|    fps                  | 809         |
|    iterations           | 42          |
|    time_elapsed         | 106         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.004515237 |
